county,precinct,office,district,candidate,party,votes,election_day,absentee,av_counting_boards,early_voting,mail,provisional,pre_process_absentee
Carter,A101,State House,96,Under Votes,,139,96,9,,34,,,
Carter,A101,State House,96,Over Votes,,0,0,0,,0,,,
Carter,A102,President,,Donald J. TRUMP,REP,253,197,19,,37,,,
Carter,A102,President,,Kamala D. HARRIS,DEM,55,39,8,,8,,,
Carter,A102,President,,Jill STEIN,KY,1,0,1,,0,,,
Carter,A102,President,,Robert F. KENNEDY JR.,IND,1,1,0,,0,,,
Carter,A102,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,A102,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Carter,A102,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,A102,President,,Write-ins,,0,0,0,,0,,,
Carter,A102,President,,Under Votes,,0,0,0,,0,,,
Carter,A102,President,,Over Votes,,0,0,0,,0,,,
Carter,A102,U.S. House,5,Hal ROGERS,REP,251,194,20,,37,,,
Carter,A102,U.S. House,5,Under Votes,,60,44,8,,8,,,
Carter,A102,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,A102,State House,96,Patrick FLANNERY,REP,256,199,20,,37,,,
Carter,A102,State House,96,Under Votes,,55,39,8,,8,,,
Carter,A102,State House,96,Over Votes,,0,0,0,,0,,,
Carter,A103,President,,Donald J. TRUMP,REP,308,215,18,,75,,,
Carter,A103,President,,Kamala D. HARRIS,DEM,62,36,7,,19,,,
Carter,A103,President,,Jill STEIN,KY,1,0,0,,1,,,
Carter,A103,President,,Robert F. KENNEDY JR.,IND,3,3,0,,0,,,
Carter,A103,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,A103,President,,Chase OLIVER,LIB,2,2,0,,0,,,
Carter,A103,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,A103,President,,Write-ins,,0,0,0,,0,,,
Carter,A103,President,,Under Votes,,3,3,0,,0,,,
Carter,A103,President,,Over Votes,,0,0,0,,0,,,
Carter,A103,U.S. House,4,Thomas MASSIE,REP,311,214,16,,81,,,
Carter,A103,U.S. House,4,Write-ins,,0,0,0,,0,,,
Carter,A103,U.S. House,4,Under Votes,,68,45,9,,14,,,
Carter,A103,U.S. House,4,Over Votes,,0,0,0,,0,,,
Carter,A103,State House,96,Patrick FLANNERY,REP,310,210,18,,82,,,
Carter,A103,State House,96,Under Votes,,69,49,7,,13,,,
Carter,A103,State House,96,Over Votes,,0,0,0,,0,,,
Carter,A104,President,,Donald J. TRUMP,REP,326,243,30,,53,,,
Carter,A104,President,,Kamala D. HARRIS,DEM,97,52,17,,28,,,
Carter,A104,President,,Jill STEIN,KY,0,0,0,,0,,,
Carter,A104,President,,Robert F. KENNEDY JR.,IND,3,1,1,,1,,,
Carter,A104,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,A104,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Carter,A104,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,A104,President,,Write-ins,,0,0,0,,0,,,
Carter,A104,President,,Under Votes,,3,2,0,,1,,,
Carter,A104,President,,Over Votes,,0,0,0,,0,,,
Carter,A104,U.S. House,5,Hal ROGERS,REP,337,248,37,,52,,,
Carter,A104,U.S. House,5,Under Votes,,93,51,11,,31,,,
Carter,A104,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,A104,State House,96,Patrick FLANNERY,REP,342,250,38,,54,,,
Carter,A104,State House,96,Under Votes,,88,49,10,,29,,,
Carter,A104,State House,96,Over Votes,,0,0,0,,0,,,
Carter,A105,President,,Donald J. TRUMP,REP,500,336,40,,124,,,
Carter,A105,President,,Kamala D. HARRIS,DEM,177,103,24,,50,,,
Carter,A105,President,,Jill STEIN,KY,3,3,0,,0,,,
Carter,A105,President,,Robert F. KENNEDY JR.,IND,5,2,1,,2,,,
Carter,A105,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,A105,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Carter,A105,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,A105,President,,Write-ins,,0,0,0,,0,,,
Carter,A105,President,,Under Votes,,3,1,0,,2,,,
Carter,A105,President,,Over Votes,,0,0,0,,0,,,
Carter,A105,U.S. House,5,Hal ROGERS,REP,544,361,51,,132,,,
Carter,A105,U.S. House,5,Under Votes,,144,84,14,,46,,,
Carter,A105,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,A105,State House,96,Patrick FLANNERY,REP,546,357,50,,139,,,
Carter,A105,State House,96,Under Votes,,142,88,15,,39,,,
Carter,A105,State House,96,Over Votes,,0,0,0,,0,,,
Carter,B101,President,,Donald J. TRUMP,REP,438,294,41,,103,,,
Carter,B101,President,,Kamala D. HARRIS,DEM,156,96,31,,29,,,
Carter,B101,President,,Jill STEIN,KY,1,1,0,,0,,,
Carter,B101,President,,Robert F. KENNEDY JR.,IND,8,7,0,,1,,,
Carter,B101,President,,Shiva AYYADURAI,IND,1,1,0,,0,,,
Carter,B101,President,,Chase OLIVER,LIB,2,1,1,,0,,,
Carter,B101,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,B101,President,,Write-ins,,0,0,0,,0,,,
Carter,B101,President,,Under Votes,,5,2,1,,2,,,
Carter,B101,President,,Over Votes,,1,1,0,,0,,,
Carter,B101,U.S. House,5,Hal ROGERS,REP,458,307,47,,104,,,
Carter,B101,U.S. House,5,Under Votes,,154,96,27,,31,,,
Carter,B101,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,B101,State House,96,Patrick FLANNERY,REP,465,308,46,,111,,,
Carter,B101,State House,96,Under Votes,,147,95,28,,24,,,
Carter,B101,State House,96,Over Votes,,0,0,0,,0,,,
Carter,B102,President,,Donald J. TRUMP,REP,279,216,11,,52,,,
Carter,B102,President,,Kamala D. HARRIS,DEM,50,32,4,,14,,,
Carter,B102,President,,Jill STEIN,KY,0,0,0,,0,,,
Carter,B102,President,,Robert F. KENNEDY JR.,IND,0,0,0,,0,,,
Carter,B102,President,,Shiva AYYADURAI,IND,1,1,0,,0,,,
Carter,B102,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Carter,B102,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,B102,President,,Write-ins,,0,0,0,,0,,,
Carter,B102,President,,Under Votes,,1,1,0,,0,,,
Carter,B102,President,,Over Votes,,0,0,0,,0,,,
Carter,B102,U.S. House,5,Hal ROGERS,REP,273,212,10,,51,,,
Carter,B102,U.S. House,5,Under Votes,,58,38,5,,15,,,
Carter,B102,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,B102,State House,96,Patrick FLANNERY,REP,266,203,12,,51,,,
Carter,B102,State House,96,Under Votes,,65,47,3,,15,,,
Carter,B102,State House,96,Over Votes,,0,0,0,,0,,,
Carter,B103,President,,Donald J. TRUMP,REP,331,227,25,,79,,,
Carter,B103,President,,Kamala D. HARRIS,DEM,79,48,12,,19,,,
Carter,B103,President,,Jill STEIN,KY,3,0,1,,2,,,
Carter,B103,President,,Robert F. KENNEDY JR.,IND,2,0,2,,0,,,
Carter,B103,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,B103,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Carter,B103,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,B103,President,,Write-ins,,0,0,0,,0,,,
Carter,B103,President,,Under Votes,,8,7,1,,0,,,
Carter,B103,President,,Over Votes,,2,1,0,,1,,,
Carter,B103,U.S. House,5,Hal ROGERS,REP,340,235,25,,80,,,
Carter,B103,U.S. House,5,Under Votes,,85,49,16,,20,,,
Carter,B103,U.S. House,5,Over Votes,,1,0,0,,1,,,
Carter,B103,State House,96,Patrick FLANNERY,REP,333,229,27,,77,,,
Carter,B103,State House,96,Under Votes,,93,55,14,,24,,,
Carter,B103,State House,96,Over Votes,,0,0,0,,0,,,
Carter,B104,President,,Donald J. TRUMP,REP,419,306,26,,87,,,
Carter,B104,President,,Kamala D. HARRIS,DEM,99,71,5,,23,,,
Carter,B104,President,,Jill STEIN,KY,2,1,0,,1,,,
Carter,B104,President,,Robert F. KENNEDY JR.,IND,5,3,0,,2,,,
Carter,B104,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,B104,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Carter,B104,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,B104,President,,Write-ins,,0,0,0,,0,,,
Carter,B104,President,,Under Votes,,3,3,0,,0,,,
Carter,B104,President,,Over Votes,,0,0,0,,0,,,
Carter,B104,U.S. House,5,Hal ROGERS,REP,434,316,26,,92,,,
Carter,B104,U.S. House,5,Under Votes,,94,68,5,,21,,,
Carter,B104,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,B104,State House,96,Patrick FLANNERY,REP,425,310,24,,91,,,
Carter,B104,State House,96,Under Votes,,103,74,7,,22,,,
Carter,B104,State House,96,Over Votes,,0,0,0,,0,,,
Carter,B105,President,,Donald J. TRUMP,REP,344,213,25,,106,,,
Carter,B105,President,,Kamala D. HARRIS,DEM,122,67,14,,41,,,
Carter,B105,President,,Jill STEIN,KY,0,0,0,,0,,,
Carter,B105,President,,Robert F. KENNEDY JR.,IND,4,2,0,,2,,,
Carter,B105,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,B105,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Carter,B105,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,B105,President,,Write-ins,,1,0,0,,1,,,
Carter,B105,President,,Under Votes,,2,2,0,,0,,,
Carter,B105,President,,Over Votes,,0,0,0,,0,,,
Carter,B105,U.S. House,5,Hal ROGERS,REP,354,223,27,,104,,,
Carter,B105,U.S. House,5,Under Votes,,119,61,12,,46,,,
Carter,B105,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,B105,State House,96,Patrick FLANNERY,REP,359,229,25,,105,,,
Carter,B105,State House,96,Under Votes,,114,55,14,,45,,,
Carter,B105,State House,96,Over Votes,,0,0,0,,0,,,
Carter,C101,President,,Donald J. TRUMP,REP,581,379,37,,165,,,
Carter,C101,President,,Kamala D. HARRIS,DEM,221,134,27,,60,,,
Carter,C101,President,,Jill STEIN,KY,1,1,0,,0,,,
Carter,C101,President,,Robert F. KENNEDY JR.,IND,3,3,0,,0,,,
Carter,C101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,C101,President,,Chase OLIVER,LIB,4,3,0,,1,,,
Carter,C101,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,C101,President,,Write-ins,,0,0,0,,0,,,
Carter,C101,President,,Under Votes,,5,3,0,,2,,,
Carter,C101,President,,Over Votes,,3,3,0,,0,,,
Carter,C101,U.S. House,5,Hal ROGERS,REP,616,401,43,,172,,,
Carter,C101,U.S. House,5,Under Votes,,202,125,21,,56,,,
Carter,C101,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,C101,State House,96,Patrick FLANNERY,REP,618,403,43,,172,,,
Carter,C101,State House,96,Under Votes,,199,123,21,,55,,,
Carter,C101,State House,96,Over Votes,,1,0,0,,1,,,
Carter,C102,President,,Donald J. TRUMP,REP,100,84,9,,7,,,
Carter,C102,President,,Kamala D. HARRIS,DEM,14,7,3,,4,,,
Carter,C102,President,,Jill STEIN,KY,1,0,0,,1,,,
Carter,C102,President,,Robert F. KENNEDY JR.,IND,0,0,0,,0,,,
Carter,C102,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,C102,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Carter,C102,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,C102,President,,Write-ins,,0,0,0,,0,,,
Carter,C102,President,,Under Votes,,0,0,0,,0,,,
Carter,C102,President,,Over Votes,,0,0,0,,0,,,
Carter,C102,U.S. House,5,Hal ROGERS,REP,96,78,10,,8,,,
Carter,C102,U.S. House,5,Under Votes,,19,13,2,,4,,,
Carter,C102,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,C102,State House,96,Patrick FLANNERY,REP,93,78,9,,6,,,
Carter,C102,State House,96,Under Votes,,22,13,3,,6,,,
Carter,C102,State House,96,Over Votes,,0,0,0,,0,,,
Carter,C103,President,,Donald J. TRUMP,REP,448,340,17,,91,,,
Carter,C103,President,,Kamala D. HARRIS,DEM,64,45,4,,15,,,
Carter,C103,President,,Jill STEIN,KY,1,0,0,,1,,,
Carter,C103,President,,Robert F. KENNEDY JR.,IND,3,3,0,,0,,,
Carter,C103,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,C103,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Carter,C103,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,C103,President,,Write-ins,,1,1,0,,0,,,
Carter,C103,President,,Under Votes,,4,3,0,,1,,,
Carter,C103,President,,Over Votes,,0,0,0,,0,,,
Carter,C103,U.S. House,5,Hal ROGERS,REP,439,329,18,,92,,,
Carter,C103,U.S. House,5,Under Votes,,83,64,3,,16,,,
Carter,C103,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,C103,State House,96,Patrick FLANNERY,REP,434,327,17,,90,,,
Carter,C103,State House,96,Under Votes,,88,66,4,,18,,,
Carter,C103,State House,96,Over Votes,,0,0,0,,0,,,
Carter,C104,President,,Donald J. TRUMP,REP,490,367,28,,95,,,
Carter,C104,President,,Kamala D. HARRIS,DEM,108,96,1,,11,,,
Carter,C104,President,,Jill STEIN,KY,0,0,0,,0,,,
Carter,C104,President,,Robert F. KENNEDY JR.,IND,5,4,0,,1,,,
Carter,C104,President,,Shiva AYYADURAI,IND,1,1,0,,0,,,
Carter,C104,President,,Chase OLIVER,LIB,6,6,0,,0,,,
Carter,C104,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,C104,President,,Write-ins,,0,0,0,,0,,,
Carter,C104,President,,Under Votes,,1,1,0,,0,,,
Carter,C104,President,,Over Votes,,1,1,0,,0,,,
Carter,C104,U.S. House,5,Hal ROGERS,REP,505,384,26,,95,,,
Carter,C104,U.S. House,5,Under Votes,,107,92,3,,12,,,
Carter,C104,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,C104,State House,96,Patrick FLANNERY,REP,501,384,24,,93,,,
Carter,C104,State House,96,Under Votes,,111,92,5,,14,,,
Carter,C104,State House,96,Over Votes,,0,0,0,,0,,,
Carter,D101,President,,Donald J. TRUMP,REP,299,242,10,,47,,,
Carter,D101,President,,Kamala D. HARRIS,DEM,67,42,6,,19,,,
Carter,D101,President,,Jill STEIN,KY,0,0,0,,0,,,
Carter,D101,President,,Robert F. KENNEDY JR.,IND,0,0,0,,0,,,
Carter,D101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,D101,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Carter,D101,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,D101,President,,Write-ins,,0,0,0,,0,,,
Carter,D101,President,,Under Votes,,1,0,0,,1,,,
Carter,D101,President,,Over Votes,,0,0,0,,0,,,
Carter,D101,U.S. House,5,Hal ROGERS,REP,299,238,11,,50,,,
Carter,D101,U.S. House,5,Under Votes,,68,46,5,,17,,,
Carter,D101,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,D101,State House,96,Patrick FLANNERY,REP,311,250,11,,50,,,
Carter,D101,State House,96,Under Votes,,56,34,5,,17,,,
Carter,D101,State House,96,Over Votes,,0,0,0,,0,,,
Carter,D102,President,,Donald J. TRUMP,REP,152,110,3,,39,,,
Carter,D102,President,,Kamala D. HARRIS,DEM,31,14,3,,14,,,
Carter,D102,President,,Jill STEIN,KY,0,0,0,,0,,,
Carter,D102,President,,Robert F. KENNEDY JR.,IND,2,2,0,,0,,,
Carter,D102,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,D102,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Carter,D102,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,D102,President,,Write-ins,,0,0,0,,0,,,
Carter,D102,President,,Under Votes,,3,2,0,,1,,,
Carter,D102,President,,Over Votes,,0,0,0,,0,,,
Carter,D102,U.S. House,5,Hal ROGERS,REP,154,110,4,,40,,,
Carter,D102,U.S. House,5,Under Votes,,34,18,2,,14,,,
Carter,D102,U.S. House,5,Over Votes,,0,0,0,,0,,,
Carter,D102,State House,96,Patrick FLANNERY,REP,152,109,4,,39,,,
Carter,D102,State House,96,Under Votes,,36,19,2,,15,,,
Carter,D102,State House,96,Over Votes,,0,0,0,,0,,,
Carter,D103,President,,Donald J. TRUMP,REP,262,180,9,,73,,,
Carter,D103,President,,Kamala D. HARRIS,DEM,88,49,5,,34,,,
Carter,D103,President,,Jill STEIN,KY,0,0,0,,0,,,
Carter,D103,President,,Robert F. KENNEDY JR.,IND,3,3,0,,0,,,
Carter,D103,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,D103,President,,Chase OLIVER,LIB,2,2,0,,0,,,
Carter,D103,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,D103,President,,Write-ins,,0,0,0,,0,,,
Carter,D103,President,,Under Votes,,3,2,1,,0,,,
Carter,D103,President,,Over Votes,,0,0,0,,0,,,
Carter,D103,U.S. House,5,Hal ROGERS,REP,274,178,12,,84,,,
Carter,D103,U.S. House,5,Under Votes,,84,58,3,,23,,,
Carter,D103,U.S. House,5,Over Votes,,0,0,0,,0,,,
